Fecha de extracción,Ciudad,Nombre,Promoción (texto),Descuento normal (%),Rating,Reviews Number,Categoria,Link,Prime,Descuento prime,Tipo de reparto
2026-05-08,tenerife-santa-cruz-la-laguna,McDonald's®,2x1 algunos productos,-,93%,(500+),-,https://glovoapp.com/es/es/tenerife-santa-cruz-la-laguna/stores/mcdonalds-tnf,No,-,Glovo
2026-05-08,tenerife-santa-cruz-la-laguna,Amazonia Açaí,-,-,96%,(500+),-,https://glovoapp.com/es/es/tenerife-santa-cruz-la-laguna/stores/amazonia-acai-tenerife,No,-,Glovo
2026-05-08,tenerife-santa-cruz-la-laguna,Da Vinci,-,-,94%,(500+),-,https://glovoapp.com/es/es/tenerife-santa-cruz-la-laguna/stores/da-vinci-2,No,-,Glovo
2026-05-08,tenerife-santa-cruz-la-laguna,Noodle Box & Sushi,-,-,93%,(500+),-,https://glovoapp.com/es/es/tenerife-santa-cruz-la-laguna/stores/noodle-box-and-sushi-tenerife,No,-,Glovo
2026-05-08,tenerife-santa-cruz-la-laguna,Da Canio,-,-,97%,(500+),-,https://glovoapp.com/es/es/tenerife-santa-cruz-la-laguna/stores/da-canio-2,No,-,Glovo
2026-05-08,zaragoza,VICIO,-,-,97%,(500+),-,https://glovoapp.com/es/es/zaragoza/stores/vicio-zaragoza,No,-,Glovo
2026-05-08,zaragoza,McDonald's®,2x1 algunos productos,-,91%,(500+),-,https://glovoapp.com/es/es/zaragoza/stores/mcdonalds-zar2,No,-,Glovo
2026-05-08,zaragoza,Hits Noodles,-,-,97%,(500+),-,https://glovoapp.com/es/es/zaragoza/stores/hits-noodles-zar,No,-,Glovo
2026-05-08,zaragoza,La Esquina De Jara,-,-,96%,(500+),-,https://glovoapp.com/es/es/zaragoza/stores/la-esquina-de-jara-zaragoza,No,-,Glovo
2026-05-08,zaragoza,Healthy Poke,2x1 algunos productos,-,96%,(500+),-,https://glovoapp.com/es/es/zaragoza/stores/healthy-poke-zaragoza,No,-,Glovo
2026-05-08,a-coruna,VICIO,-,-,91%,(500+),-,https://glovoapp.com/es/es/a-coruna/stores/vicio-a-coruna,No,-,Glovo
2026-05-08,a-coruna,McDonald's®,2x1 algunos productos,-,93%,(500+),-,https://glovoapp.com/es/es/a-coruna/stores/mcdonalds-111111111122222222223333333333444444444455555555559,No,-,Glovo
2026-05-08,a-coruna,Goiko,-30% algunos productos,-30,97%,(500+),-,https://glovoapp.com/es/es/a-coruna/stores/goiko-lcg,No,-,Glovo
2026-05-08,a-coruna,Pandelino Desayunos y Meriendas,-,-,94%,(141),-,https://glovoapp.com/es/es/a-coruna/stores/pandelino-desayunos-y-meriendas-a-coruna,No,-,Glovo
2026-05-08,a-coruna,Bonilla a la Vista,-,-,100%,(134),-,https://glovoapp.com/es/es/a-coruna/stores/bonilla-a-la-vista-a-coruna,No,-,Glovo
2026-05-08,granada,McDonald's®,2x1 algunos productos,-,91%,(500+),-,https://glovoapp.com/es/es/granada/stores/mcdonalds-granada,No,-,Glovo
2026-05-08,granada,Açaí Paradise,-,-,94%,(296),-,https://glovoapp.com/es/es/granada/stores/acai-paradise-granada,No,-,Glovo
2026-05-08,granada,Amazonía Açaí,-,-,97%,(398),-,https://glovoapp.com/es/es/granada/stores/amazonia-acai-granada,No,-,Glovo
2026-05-08,granada,Mahalo Poke,-15% todo el menú,-15,96%,(500+),-,https://glovoapp.com/es/es/granada/stores/mahalo-poke,No,-,Glovo
2026-05-08,granada,Padthaiwok,-,-,94%,(366),-,https://glovoapp.com/es/es/granada/stores/padthaiwok-granada,No,-,Glovo
2026-05-08,palma,VICIO,-,-,95%,(500+),-,https://glovoapp.com/es/es/palma/stores/vicio-palma,No,-,Glovo
2026-05-08,palma,Filippo,-15% algunos productos | -20% con Prime,-20,97%,(125),-,https://glovoapp.com/es/es/palma/stores/filippo-palma,Sí,-15,Glovo
2026-05-08,palma,Fresanto,-,-,100%,(38),-,https://glovoapp.com/es/es/palma/stores/fresanto-palma,No,-,Glovo
2026-05-08,palma,Max & Davy,-,-,100%,(149),-,https://glovoapp.com/es/es/palma/stores/max-and-davy-palma,No,-,Glovo
2026-05-08,palma,La berraquera cocina colombiana,-,-,--,-,-,https://glovoapp.com/es/es/palma/stores/la-berraquera-cocina-colombiana-palma,No,-,Glovo
2026-05-08,albacete,McDonald's®,2x1 algunos productos,-,90%,(500+),-,https://glovoapp.com/es/es/albacete/stores/mcdonald-s-albacete,No,-,Glovo
2026-05-08,albacete,Taco Bell,-50% algunos productos,-50,89%,(398),-,https://glovoapp.com/es/es/albacete/stores/taco-bell-alb,No,-,Glovo
2026-05-08,albacete,KFC,-,-,95%,(184),-,https://glovoapp.com/es/es/albacete/stores/kfc-albacete,No,-,Glovo
2026-05-08,albacete,La Golosa,2x1 algunos productos,-,98%,(32),-,https://glovoapp.com/es/es/albacete/stores/la-golosa-srteet-albacete,No,-,Glovo
2026-05-08,albacete,llaollao,-,-,98%,(34),-,https://glovoapp.com/es/es/albacete/stores/llaollao-albacete,No,-,Glovo
2026-05-08,jerez-de-la-frontera,McDonald's®,2x1 algunos productos,-,91%,(413),-,https://glovoapp.com/es/es/jerez-de-la-frontera/stores/mcdonald-s-jerez,No,-,Glovo
2026-05-08,jerez-de-la-frontera,Amazonas,-,-,92%,(22),-,https://glovoapp.com/es/es/jerez-de-la-frontera/stores/amazonas-jerez-de-la-frontera,No,-,Glovo
2026-05-08,jerez-de-la-frontera,KFC,-50% algunos productos,-50,91%,(142),-,https://glovoapp.com/es/es/jerez-de-la-frontera/stores/kfc-jerez-de-la-frontera,No,-,Glovo
2026-05-08,jerez-de-la-frontera,Street Food Burger,-20% algunos productos,-20,92%,(239),-,https://glovoapp.com/es/es/jerez-de-la-frontera/stores/street-food-burger-jerez-de-la-frontera,No,-,Glovo
2026-05-08,jerez-de-la-frontera,Jacob Cake Boutique,-,-,93%,(36),-,https://glovoapp.com/es/es/jerez-de-la-frontera/stores/jacob-cake-boutique-jerez-de-la-frontera,No,-,Glovo
